Title,Note,URL,Tags,Comment
Lounge Fernando,,https://www.google.com/maps/place/Lounge+Fernando/data=!4m2!3m1!1s0x85d1ff405cd15555:0xe377fac36ae63e79,,
Marea Restaurante de Mar,,https://www.google.com/maps/place/Marea+Restaurante+de+Mar/data=!4m2!3m1!1s0x85d1ffe4cca9f1db:0xf05d4319427df20d,,
tu es,Matcha deli y cozy,https://www.google.com/maps/place/tu+es/data=!4m2!3m1!1s0x85d1ffa3684e24a5:0xfc010582c416ce26,,
Testarudo Café,Buen lugar para trabajar,https://www.google.com/maps/place/Testarudo+Caf%C3%A9/data=!4m2!3m1!1s0x85d1ff8037353ecb:0x54b49e5fcb2bfd16,,
Cupido Café,,https://www.google.com/maps/place/Cupido+Caf%C3%A9/data=!4m2!3m1!1s0x85d1ff0039f140ab:0xc89bdc526d523c27,,
Constela Café,Cafesito para trabajar,https://www.google.com/maps/place/Constela+Caf%C3%A9/data=!4m2!3m1!1s0x85d203c10855d2a9:0xb9435b110ab81699,,
Constela Café,Cafesito para trabajar,https://www.google.com/maps/place/Constela+Caf%C3%A9/data=!4m2!3m1!1s0x85d1ffd011d51ab5:0xc7c263276fb7a5b,,
Fugu Sushi,Sushi q le pides am chef lo q te recomiende y es deli. Mini barra de 7 lugares,https://www.google.com/maps/place/Fugu+Sushi/data=!4m2!3m1!1s0x85d1ff0c3a06dd6b:0xefbf26874070d653,,
Kotsu,"Niguiris, cerveza y sake ilimitados por dos horas",https://www.google.com/maps/place/Kotsu/data=!4m2!3m1!1s0x85d1ff37f783ffff:0x1d28489e315eaa53,,
KOYI SUSHI SAN MIGUEL,"Sushi casual, bowl de cangrejo es bueno dicen",https://www.google.com/maps/place/KOYI+SUSHI+SAN+MIGUEL/data=!4m2!3m1!1s0x85d1ffbdf82301ef:0xde6d49379f71532f,,
Nommo Sushi,Sushi casual y no muy caro,https://www.google.com/maps/place/Nommo+Sushi/data=!4m2!3m1!1s0x85d1ff055d19ce3b:0x75edd4be7b372a4e,,
Diamantina,,https://www.google.com/maps/place/Diamantina/data=!4m2!3m1!1s0x85d1ff0008b5826f:0x4e78411e15977e14,,
RUIDO,,https://www.google.com/maps/place/RUIDO/data=!4m2!3m1!1s0x85d1ff65981a1229:0x1420219c5f0ee22b,,
Jellyfish,"Lugar para desconectarte, leer y postre",https://www.google.com/maps/place/Jellyfish/data=!4m2!3m1!1s0x85d1ff0052d169a9:0x648adc229d486d54,,
Cafeteria Ideal,Para romantic dinner,https://www.google.com/maps/place/Cafeteria+Ideal/data=!4m2!3m1!1s0x85d1ff30fd8584ab:0xce6b4316e5138ff3,,
Izakalle,,https://www.google.com/maps/place/Izakalle/data=!4m2!3m1!1s0x85d1ff007546263f:0x3cee10abbf464a7f,,
